SIZE ,SHAPE ,STOCK ,COLORSPEC ,COATING ,RunSize,UnitPrice,TotalPrice
"4"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,1000,0.2064,206.41
"4"" x 6""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,100,0.2541,25.41
"4"" x 6""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,250,0.1397,34.93
"4"" x 6""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,500,0.1334,66.70
"4"" x 6""",Rectangle,18PT Uncoated Kraft,4/0 (4 color front),No Coating,1000,0.1286,128.60
"4"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,100,0.3018,30.18
"4"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,250,0.1779,44.46
"4"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,500,0.1683,84.15
"4"" x 6""",Rectangle,18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,1000,0.1651,165.13
"4"" x 6""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,100,0.3018,30.18
"4"" x 6""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,250,0.1779,44.46
"4"" x 6""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,500,0.1747,87.33
"4"" x 6""",Rectangle,18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,1000,0.1588,158.78
"4"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,100,0.3812,38.12
"4"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,250,0.2286,57.16
"4"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,500,0.2191,109.57
"4"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/1,No Coating,1000,0.2112,211.19
"4"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,100,0.3334,33.34
"4"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,250,0.1969,49.23
"4"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,500,0.1937,96.86
"4"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/0 with White Mask,No Coating,1000,0.1890,188.96
"4"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,100,0.4923,49.23
"4"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,250,0.2922,73.04
"4"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,500,0.2858,142.91
"4"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,1000,0.2811,281.05
"4"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,100,0.4923,49.23
"4"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,250,0.2922,73.04
"4"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,500,0.2858,142.91
"4"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,1000,0.2811,281.05
"4"" x 8.5""",Rectangle,18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,100,0.4923,49.23
